type,year_int,position,renner_ID,points
1,2021,1,35949,25
1,2021,2,23913,20
1,2021,3,43700,15
1,2021,4,44802,12
1,2021,5,24421,10
1,2021,6,53443,8
1,2021,7,51700,6
1,2021,8,52237,4
1,2021,9,18657,2
1,2021,10,7234,1
2,2021,1,43684,25
2,2021,2,53443,20
2,2021,3,43700,15
2,2021,4,24421,12
2,2021,5,35949,10
2,2021,6,18657,8
2,2021,7,53052,6
2,2021,8,52237,4
2,2021,9,37581,2
2,2021,10,44802,1
3,2021,1,33192,25
3,2021,2,54348,20
3,2021,3,27594,15
3,2021,4,47340,12
3,2021,5,28431,10
3,2021,6,35949,8
3,2021,7,43684,6
3,2021,8,47062,4
3,2021,9,44819,2
3,2021,10,42314,1
4,2021,1,6964,25
4,2021,2,27594,20
4,2021,3,54348,15
4,2021,4,23913,12
4,2021,5,23647,10
4,2021,6,47062,8
4,2021,7,42312,6
4,2021,8,47296,4
4,2021,9,19640,2
4,2021,10,698,1
5,2021,1,53443,25
5,2021,2,43607,20
5,2021,3,53052,15
5,2021,4,43705,12
5,2021,5,43684,10
5,2021,6,49918,8
5,2021,7,43700,6
5,2021,8,30410,4
5,2021,9,21310,2
5,2021,10,36193,1
6,2021,1,6964,25
6,2021,2,54348,20
6,2021,3,27594,15
6,2021,4,25852,12
6,2021,5,23647,10
6,2021,6,47062,8
6,2021,7,33192,6
6,2021,8,43705,4
6,2021,9,23913,2
6,2021,10,47296,1
7,2021,1,43812,25
7,2021,2,23283,20
7,2021,3,41651,15
7,2021,4,43684,12
7,2021,5,49918,10
7,2021,6,48263,8
7,2021,7,24463,6
7,2021,8,43705,4
7,2021,9,55616,2
7,2021,10,53144,1
8,2021,1,35418,25
8,2021,2,22689,20
8,2021,3,43171,15
8,2021,4,53443,12
8,2021,5,19624,10
8,2021,6,36875,8
8,2021,7,49211,6
8,2021,8,42839,4
8,2021,9,30410,2
8,2021,10,53052,1
9,2021,1,50087,25
9,2021,2,30410,20
9,2021,3,28431,15
9,2021,4,42839,12
9,2021,5,48263,10
9,2021,6,53443,8
9,2021,7,45118,6
9,2021,8,53052,4
9,2021,9,48301,2
9,2021,10,15882,1
10,2021,1,6964,25
10,2021,2,43705,20
10,2021,3,54348,15
10,2021,4,27594,12
10,2021,5,23913,10
10,2021,6,7242,8
10,2021,7,698,6
10,2021,8,23647,4
10,2021,9,44819,2
10,2021,10,47062,1
11,2021,1,43705,25
11,2021,2,27208,20
11,2021,3,18657,15
11,2021,4,53443,12
11,2021,5,15882,10
11,2021,6,45118,8
11,2021,7,53052,6
11,2021,8,36193,4
11,2021,9,24421,2
11,2021,10,48301,1
12,2021,1,43890,25
12,2021,2,112,20
12,2021,3,58398,15
12,2021,4,43607,12
12,2021,5,24718,10
12,2021,6,698,8
12,2021,7,27113,6
12,2021,8,55616,4
12,2021,9,35949,2
12,2021,10,19983,1
13,2021,1,6964,25
13,2021,2,7242,20
13,2021,3,54348,15
13,2021,4,49769,12
13,2021,5,41481,10
13,2021,6,51823,8
13,2021,7,42312,6
13,2021,8,698,4
13,2021,9,41651,2
13,2021,10,23283,1
14,2021,1,18657,25
14,2021,2,24463,20
14,2021,3,52237,15
14,2021,4,30410,12
14,2021,5,43171,10
14,2021,6,35495,8
14,2021,7,49498,6
14,2021,8,36610,4
14,2021,9,36097,2
14,2021,10,31947,1
15,2021,1,51074,25
15,2021,2,130,20
15,2021,3,19624,15
15,2021,4,22689,12
15,2021,5,44824,10
15,2021,6,23627,8
15,2021,7,51700,6
15,2021,8,18684,4
15,2021,9,48263,2
15,2021,10,49211,1
16,2021,1,24463,25
16,2021,2,28431,20
16,2021,3,23913,15
16,2021,4,26846,12
16,2021,5,48263,10
16,2021,6,51823,8
16,2021,7,27365,6
16,2021,8,22657,4
16,2021,9,51700,2
16,2021,10,47252,1
17,2021,1,53443,25
17,2021,2,53052,20
17,2021,3,45118,15
17,2021,4,51700,12
17,2021,5,50087,10
17,2021,6,24421,8
17,2021,7,30197,6
17,2021,8,52237,4
17,2021,9,15882,2
17,2021,10,35418,1
18,2021,1,53443,25
18,2021,2,53052,20
18,2021,3,45118,15
18,2021,4,48301,12
18,2021,5,18684,10
18,2021,6,51074,8
18,2021,7,52237,6
18,2021,8,50087,4
18,2021,9,24421,2
18,2021,10,130,1
19,2021,1,43812,25
19,2021,2,42312,20
19,2021,3,49757,15
19,2021,4,37248,12
19,2021,5,43890,10
19,2021,6,27113,8
19,2021,7,35739,6
19,2021,8,52339,4
19,2021,9,44819,2
19,2021,10,23283,1
20,2021,1,43705,25
20,2021,2,49918,20
20,2021,3,53052,15
20,2021,4,43607,12
20,2021,5,53509,10
20,2021,6,30410,8
20,2021,7,53340,6
20,2021,8,53443,4
20,2021,9,41651,2
20,2021,10,23816,1
21,2021,1,43705,25
21,2021,2,54348,20
21,2021,3,6964,15
21,2021,4,24718,12
21,2021,5,698,10
21,2021,6,41481,8
21,2021,7,23913,6
21,2021,8,51823,4
21,2021,9,54297,2
21,2021,10,42314,1
1,2022,1,35949,25
1,2022,2,23913,20
1,2022,3,43700,15
1,2022,4,44802,12
1,2022,5,24421,10
1,2022,6,53443,8
1,2022,7,51700,6
1,2022,8,52237,4
1,2022,9,18657,2
1,2022,10,7234,1
2,2022,1,43684,25
2,2022,2,53443,20
2,2022,3,43700,15
2,2022,4,24421,12
2,2022,5,35949,10
2,2022,6,18657,8
2,2022,7,53052,6
2,2022,8,52237,4
2,2022,9,37581,2
2,2022,10,44802,1
3,2022,1,33192,25
3,2022,2,54348,20
3,2022,3,27594,15
3,2022,4,47340,12
3,2022,5,28431,10
3,2022,6,35949,8
3,2022,7,43684,6
3,2022,8,47062,4
3,2022,9,44819,2
3,2022,10,42314,1
4,2022,1,6964,25
4,2022,2,27594,20
4,2022,3,54348,15
4,2022,4,23913,12
4,2022,5,23647,10
4,2022,6,47062,8
4,2022,7,42312,6
4,2022,8,47296,4
4,2022,9,19640,2
4,2022,10,698,1
5,2022,1,53443,25
5,2022,2,43607,20
5,2022,3,53052,15
5,2022,4,43705,12
5,2022,5,43684,10
5,2022,6,49918,8
5,2022,7,43700,6
5,2022,8,30410,4
5,2022,9,21310,2
5,2022,10,36193,1
6,2022,1,6964,25
6,2022,2,54348,20
6,2022,3,27594,15
6,2022,4,25852,12
6,2022,5,23647,10
6,2022,6,47062,8
6,2022,7,33192,6
6,2022,8,43705,4
6,2022,9,23913,2
6,2022,10,47296,1
7,2022,1,43812,25
7,2022,2,23283,20
7,2022,3,41651,15
7,2022,4,43684,12
7,2022,5,49918,10
7,2022,6,48263,8
7,2022,7,24463,6
7,2022,8,43705,4
7,2022,9,55616,2
7,2022,10,53144,1
8,2022,1,35418,25
8,2022,2,22689,20
8,2022,3,43171,15
8,2022,4,53443,12
8,2022,5,19624,10
8,2022,6,36875,8
8,2022,7,49211,6
8,2022,8,42839,4
8,2022,9,30410,2
8,2022,10,53052,1
9,2022,1,50087,25
9,2022,2,30410,20
9,2022,3,28431,15
9,2022,4,42839,12
9,2022,5,48263,10
9,2022,6,53443,8
9,2022,7,45118,6
9,2022,8,53052,4
9,2022,9,48301,2
9,2022,10,15882,1
10,2022,1,6964,25
10,2022,2,43705,20
10,2022,3,54348,15
10,2022,4,27594,12
10,2022,5,23913,10
10,2022,6,7242,8
10,2022,7,698,6
10,2022,8,23647,4
10,2022,9,44819,2
10,2022,10,47062,1
11,2022,1,43705,25
11,2022,2,27208,20
11,2022,3,18657,15
11,2022,4,53443,12
11,2022,5,15882,10
11,2022,6,45118,8
11,2022,7,53052,6
11,2022,8,36193,4
11,2022,9,24421,2
11,2022,10,48301,1
12,2022,1,43890,25
12,2022,2,112,20
12,2022,3,58398,15
12,2022,4,43607,12
12,2022,5,24718,10
12,2022,6,698,8
12,2022,7,27113,6
12,2022,8,55616,4
12,2022,9,35949,2
12,2022,10,19983,1
13,2022,1,6964,25
13,2022,2,7242,20
13,2022,3,54348,15
13,2022,4,49769,12
13,2022,5,41481,10
13,2022,6,51823,8
13,2022,7,42312,6
13,2022,8,698,4
13,2022,9,41651,2
13,2022,10,23283,1
14,2022,1,18657,25
14,2022,2,24463,20
14,2022,3,52237,15
14,2022,4,30410,12
14,2022,5,43171,10
14,2022,6,35495,8
14,2022,7,49498,6
14,2022,8,36610,4
14,2022,9,36097,2
14,2022,10,31947,1
15,2022,1,51074,25
15,2022,2,130,20
15,2022,3,19624,15
15,2022,4,22689,12
15,2022,5,44824,10
15,2022,6,23627,8
15,2022,7,51700,6
15,2022,8,18684,4
15,2022,9,48263,2
15,2022,10,49211,1
16,2022,1,24463,25
16,2022,2,28431,20
16,2022,3,23913,15
16,2022,4,26846,12
16,2022,5,48263,10
16,2022,6,51823,8
16,2022,7,27365,6
16,2022,8,22657,4
16,2022,9,51700,2
16,2022,10,47252,1
17,2022,1,53443,25
17,2022,2,53052,20
17,2022,3,45118,15
17,2022,4,51700,12
17,2022,5,50087,10
17,2022,6,24421,8
17,2022,7,30197,6
17,2022,8,52237,4
17,2022,9,15882,2
17,2022,10,35418,1
18,2022,1,53443,25
18,2022,2,53052,20
18,2022,3,45118,15
18,2022,4,48301,12
18,2022,5,18684,10
18,2022,6,51074,8
18,2022,7,52237,6
18,2022,8,50087,4
18,2022,9,24421,2
18,2022,10,130,1
19,2022,1,43812,25
19,2022,2,42312,20
19,2022,3,49757,15
19,2022,4,37248,12
19,2022,5,43890,10
19,2022,6,27113,8
19,2022,7,35739,6
19,2022,8,52339,4
19,2022,9,44819,2
19,2022,10,23283,1
20,2022,1,43705,25
20,2022,2,49918,20
20,2022,3,53052,15
20,2022,4,43607,12
20,2022,5,53509,10
20,2022,6,30410,8
20,2022,7,53340,6
20,2022,8,53443,4
20,2022,9,41651,2
20,2022,10,23816,1
21,2022,1,43705,25
21,2022,2,54348,20
21,2022,3,6964,15
21,2022,4,24718,12
21,2022,5,698,10
21,2022,6,41481,8
21,2022,7,23913,6
21,2022,8,51823,4
21,2022,9,54297,2
21,2022,10,42314,1
Geel,2021,1,53443,50
Geel,2021,2,53052,45
Geel,2021,3,45118,40
Geel,2021,4,50087,36
Geel,2021,5,24421,32
Geel,2021,6,48301,28
Geel,2021,7,36193,25
Geel,2021,8,42839,22
Geel,2021,9,30197,19
Geel,2021,10,15882,16
Geel,2021,11,51700,14
Geel,2021,12,30410,12
Geel,2021,13,31947,10
Geel,2021,14,36097,8
Geel,2021,15,49211,6
Geel,2021,16,19624,5
Geel,2021,17,35418,4
Geel,2021,18,44824,3
Geel,2021,19,43705,2
Geel,2021,20,18657,1
Geel,2022,1,53052,50
Geel,2022,2,53443,45
Geel,2022,3,7234,40
Geel,2022,4,51700,36
Geel,2022,5,49264,32
Geel,2022,6,23627,28
Geel,2022,7,25394,25
Geel,2022,8,36097,22
Geel,2022,9,36193,19
Geel,2022,10,37165,16
Geel,2022,11,49214,14
Geel,2022,12,31751,12
Geel,2022,13,50664,10
Geel,2022,14,153,8
Geel,2022,15,23898,6
Geel,2022,16,24463,5
Geel,2022,17,54405,4
Geel,2022,18,51074,3
Geel,2022,19,35418,2
Geel,2022,20,52102,1
Groen,2021,1,6964,25
Groen,2021,2,23913,20
Groen,2021,3,28431,15
Groen,2021,4,54348,12
Groen,2021,5,43705,10
Groen,2021,6,43812,8
Groen,2021,7,35949,6
Groen,2021,8,53443,4
Groen,2021,9,7242,2
Groen,2021,10,53052,1
Wit,2021,1,53443,25
Wit,2021,2,53052,20
Wit,2021,3,51700,15
Wit,2021,4,49211,12
Wit,2021,5,52237,10
Wit,2021,6,49214,8
Wit,2021,7,50664,6
Wit,2021,8,54709,4
Wit,2021,9,53377,2
Wit,2021,10,55616,1
Bol,2021,1,53443,25
Bol,2021,2,19624,20
Bol,2021,3,53052,15
Bol,2021,4,43705,12
Bol,2021,5,23627,10
Bol,2021,6,45118,8
Bol,2021,7,50087,6
Bol,2021,8,18657,4
Bol,2021,9,51700,2
Bol,2021,10,28203,1
Groen,2022,1,43705,25
Groen,2022,2,53443,20
Groen,2022,3,54348,15
Groen,2022,4,42312,12
Groen,2022,5,47296,10
Groen,2022,6,53052,8
Groen,2022,7,49777,6
Groen,2022,8,23913,4
Groen,2022,9,23647,2
Groen,2022,10,7234,1
Wit,2022,1,53443,25
Wit,2022,2,54405,20
Wit,2022,3,52102,15
Wit,2022,4,54879,12
Wit,2022,5,54322,10
Wit,2022,6,52433,8
Wit,2022,7,52339,6
Wit,2022,8,53159,4
Wit,2022,9,55337,2
Wit,2022,10,54332,1
Bol,2022,1,53052,25
Bol,2022,2,18656,20
Bol,2022,3,44877,15
Bol,2022,4,53443,12
Bol,2022,5,43705,10
Bol,2022,6,23898,8
Bol,2022,7,36097,6
Bol,2022,8,50664,4
Bol,2022,9,37581,2
Bol,2022,10,7234,1
Laatst,2021,1,53443,104
Laatst,2022,1,53443,102
Laatst,2022,2,53052,83
Laatst,2021,2,53052,81
Laatst,2022,3,43705,60
Laatst,2021,3,43705,49
Laatst,2021,4,45118,48
Laatst,2022,4,7234,42
Laatst,2021,5,50087,42
Laatst,2021,6,6964,40
Laatst,2022,5,51700,36
Laatst,2022,6,54348,35
Laatst,2021,7,24421,32
Laatst,2022,7,49264,32
Laatst,2021,8,54348,32
Laatst,2021,9,51700,31
Laatst,2022,8,23627,28
Laatst,2022,9,36097,28
Laatst,2021,10,48301,28
Laatst,2021,11,23913,26
Laatst,2021,12,19624,25
Laatst,2022,10,25394,25
Laatst,2021,13,36193,25
Laatst,2022,11,54405,24
Laatst,2021,14,42839,22
Laatst,2022,12,18656,20
Laatst,2021,15,30197,19
Laatst,2022,13,36193,19
Laatst,2021,16,49211,18
Laatst,2021,17,15882,16
Laatst,2022,14,37165,16
Laatst,2022,15,52102,16
Laatst,2022,16,6964,15
Laatst,2021,18,28431,15
Laatst,2022,17,44877,15
Laatst,2022,18,23898,14
Laatst,2022,19,49214,14
Laatst,2022,20,50664,14
Laatst,2021,19,24718,12
Laatst,2022,21,24718,12
Laatst,2021,20,30410,12
Laatst,2022,22,31751,12
Laatst,2022,23,42312,12
Laatst,2022,24,54879,12
Laatst,2021,21,698,10
Laatst,2022,25,698,10
Laatst,2021,22,23627,10
Laatst,2022,26,23913,10
Laatst,2021,23,31947,10
Laatst,2022,27,47296,10
Laatst,2021,24,52237,10
Laatst,2022,28,54322,10
Laatst,2022,29,153,8
Laatst,2021,25,36097,8
Laatst,2021,26,41481,8
Laatst,2022,30,41481,8
Laatst,2021,27,43812,8
Laatst,2021,28,49214,8
Laatst,2022,31,52433,8
Laatst,2021,29,35949,6
Laatst,2022,32,49777,6
Laatst,2021,30,50664,6
Laatst,2022,33,52339,6
Laatst,2021,31,18657,5
Laatst,2022,34,24463,5
Laatst,2021,32,35418,4
Laatst,2021,33,51823,4
Laatst,2022,35,51823,4
Laatst,2022,36,53159,4
Laatst,2021,34,54709,4
Laatst,2021,35,44824,3
Laatst,2022,37,51074,3
Laatst,2021,36,7242,2
Laatst,2022,38,23647,2
Laatst,2022,39,35418,2
Laatst,2022,40,37581,2
Laatst,2021,37,53377,2
Laatst,2021,38,54297,2
Laatst,2022,41,54297,2
Laatst,2022,42,55337,2
Laatst,2021,39,28203,1
Laatst,2021,40,42314,1
Laatst,2022,43,42314,1
Laatst,2022,44,54332,1
Laatst,2021,41,55616,1
